Change in Price/SqFt,1/Square Feet,Number Baths,Distance,Location,Type of Home,Price,Price/SqFt,Square Feet
-23.145,0.00049505,2.5,0.4,City,Connected,328700,162.722772,2020
-40.369,0.0005,2,0.4,City,Connected,318000,159,2000
8.936,0.00022173,4,1.3,Rural,Detached,689200,152.815965,4510
-8.781,0.00021322,3.5,4.6,Rural,Detached,739500,157.675906,4690
-49.876,0.00057471,2.5,0.5,City,Connected,300300,172.586207,1740
-13.963,0.00030581,4,4,Rural,Detached,507000,155.045872,3270
-19.976,0.00090909,2.5,1.9,Suburb,Connected,193700,176.090909,1100
-1.052,0.00034247,3.5,3.5,Rural,Detached,477500,163.527397,2920
0.555,0.00028818,2.5,2.4,Rural,Detached,548800,158.15562,3470
-12.785,0.00061728,2.5,3,City,Connected,263100,162.407407,1620
16.857,0.00033113,3.5,1.2,Suburb,Detached,624800,206.887417,3020
-4.797,0.0009009,1.5,0.3,City,Connected,184900,166.576577,1110
2.589,0.00038462,4,2.8,Rural,Detached,425200,163.538462,2600
7.399,0.00023148,4,4.9,Rural,Detached,672600,155.694444,4320
-0.876,0.00057471,1.5,0.1,City,Connected,271900,156.264368,1740
-17.752,0.00052356,1.5,0.2,City,Connected,302200,158.219895,1910
-37.989,0.00047619,2,0.3,City,Connected,330700,157.47619,2100
-6.156,0.00021645,3.5,3.7,Rural,Detached,705000,152.597403,4620
-35.376,0.00068027,2.5,1,City,Connected,251000,170.748299,1470
12.602,0.00038314,2.5,1.7,Suburb,Detached,543200,208.122605,2610
-11.303,0.00068027,2.5,1.6,City,Connected,246800,167.891156,1470
-26.675,0.00069444,2.5,1.6,Suburb,Connected,272800,189.444444,1440
-3.542,0.00044444,2,0.1,City,Connected,371000,164.888889,2250
17.43,0.00037313,3.5,1.9,Suburb,Detached,557200,207.910448,2680
-1.889,0.00035211,1.5,0.6,City,Connected,442800,155.915493,2840
15.43,0.00029762,3,2.8,Rural,Detached,520900,155.029762,3360
-9.185,0.0009901,2,1,Suburb,Connected,201500,199.50495,1010
-2.553,0.00023364,4,1.4,Suburb,Detached,872100,203.761682,4280
-14.436,0.00054945,2,0.8,City,Connected,292900,160.934066,1820
12.502,0.00022779,4,15.5,Rural,Detached,672900,153.280182,4390
-31.845,0.00058824,2.5,3.3,Suburb,Connected,322700,189.823529,1700
-12.462,0.00028249,2.5,1.6,Suburb,Detached,708000,200,3540
-16.878,0.00068966,1.5,0.8,City,Connected,251900,173.724138,1450
-46.872,0.0004902,2.5,0.7,City,Connected,335300,164.362745,2040
-37.547,0.00058824,2,1.3,City,Connected,246800,145.176471,1700
0.55,0.00035088,4,3.8,Rural,Detached,433700,152.175439,2850
-2.57,0.00028736,3.5,3.8,Rural,Detached,542800,155.977011,3480
-7.307,0.00084746,2,0.2,City,Connected,191200,162.033898,1180
-4.298,0.00083333,2.5,2,Suburb,Connected,239400,199.5,1200
14.855,0.0001845,4,2.3,Rural,Detached,825900,152.380074,5420
-9.818,0.00038462,2,1.3,Suburb,Connected,484500,186.346154,2600
-10.732,0.00068966,2.5,1.1,City,Connected,229300,158.137931,1450
8.737,0.00030303,3.5,4.1,Rural,Detached,509300,154.333333,3300
-21.751,0.0006135,2.5,0.5,City,Connected,264800,162.453988,1630
-23.391,0.00068027,2.5,0.6,City,Connected,247900,168.639456,1470
11.177,0.00018727,3.5,4.8,Rural,Detached,829800,155.393258,5340
-40.292,0.00074627,2.5,1,City,Connected,227000,169.402985,1340
13.083,0.00031348,4,4.4,Rural,Detached,496700,155.705329,3190
-44.469,0.00068966,2.5,1,Suburb,Connected,268100,184.896552,1450
2.578,0.00035714,4,2.1,Suburb,Detached,587800,209.928571,2800
0.682,0.00035461,2.5,1.3,Suburb,Detached,602600,213.687943,2820
-19.773,0.0004878,2,0.4,City,Connected,340800,166.243902,2050
-6.088,0.00028902,2.5,1.2,Rural,Detached,516800,149.364162,3460
-35.148,0.00059524,2.5,0.6,City,Connected,290800,173.095238,1680
-9.571,0.00052632,1.5,3.9,City,Connected,309600,162.947368,1900
-30.492,0.00055249,1.5,0.2,City,Connected,287600,158.895028,1810
7.718,0.00037736,2.5,2,Suburb,Detached,532400,200.90566,2650
-1.25,0.00050505,4,2,Rural,Detached,337800,170.606061,1980
11.756,0.00028249,3,1.1,Suburb,Detached,729000,205.932203,3540
-12.862,0.00086957,1.5,1.9,City,Connected,188700,164.086957,1150
-20.341,0.00072993,2,0.1,City,Connected,239600,174.890511,1370
9.365,0.00042373,4,1.5,Suburb,Detached,488000,206.779661,2360
-15.226,0.00067568,2,0.6,City,Connected,232400,157.027027,1480
-26.53,0.00044444,1.5,0.4,City,Connected,351700,156.311111,2250
-13.995,0.00038023,2.5,2.7,Suburb,Detached,533200,202.737643,2630
3.721,0.00026455,3,2.4,Suburb,Detached,765900,202.619048,3780
1.621,0.00031056,4,3.9,Rural,Detached,522800,162.360248,3220
-10.685,0.00038168,3,3.1,Rural,Detached,403500,154.007634,2620
-17.846,0.00068966,1.5,0.7,City,Connected,227500,156.896552,1450
-6.359,0.00031546,4,1.6,Suburb,Detached,661000,208.51735,3170
-10.923,0.00036232,2.5,2.5,Suburb,Detached,563200,204.057971,2760
-17.454,0.0008,2.5,0.2,City,Connected,224000,179.2,1250
7.34,0.0002381,4,3.5,Rural,Detached,644300,153.404762,4200
-29.727,0.00046729,2.5,2.3,City,Connected,326000,152.336449,2140
-40.133,0.00064516,1.5,0.5,City,Connected,253100,163.290323,1550
-14.614,0.00022272,3,1.9,Rural,Detached,697400,155.32294,4490
-11.886,0.00039841,2.5,5.9,Rural,Detached,384700,153.266932,2510
1.469,0.00033003,2.5,1,Rural,Detached,475400,156.89769,3030
5.267,0.00031056,2.5,4,Rural,Detached,500300,155.372671,3220
-12.712,0.00028011,3.5,2.7,Rural,Detached,555400,155.57423,3570
5.431,0.00022989,2.5,1.5,Rural,Detached,649400,149.287356,4350
